Set,Standard-PT,2nd_Gen-PT,P_Value,Grow-PT,P_Value
Train,7.710894925651658,18.907926315864657,0.38,17.177541157044644,0.34
Test,7.6799164902281145,18.88030134980962,0.52,17.213497731055803,0.34
