Problem,Hidden_Layer,DAE-GP,Pre-Trained_DAE-GP,P_Value,Cliffs_Delta
Airfoil,1,144.9516129032258,59.79032258064516,0.00***,-0.93
Airfoil,2,145.24193548387098,57.564516129032256,0.00***,-0.88
Boston_Housing,2,143.8709677419355,64.64516129032258,0.00***,-0.88
Energy(Cooling),2,144.93548387096774,62.95161290322581,0.00***,-0.93
Concrete,2,142.46774193548387,63.12903225806452,0.00***,-0.87
