Set,Standard-PT,2nd_Gen-PT,P_Value,Grow-PT,P_Value
Train,15.18201326694339,19.691349935934028,0.38,21.435377175859237,0.34
Test,15.22621946305343,19.606850196113,0.52,21.24574189927896,0.34
