Problem,Hidden_Layer,DAE-GP,Pre-Trained_DAE-GP,P_Value,Cliffs_Delta
Airfoil,1,0.857,0.926,0.00***,0.93
Airfoil,2,0.859,0.9285000000000001,0.00***,0.93
Boston_Housing,2,0.8755,0.9464999999999999,0.00***,0.92
Energy(Cooling),2,0.872,0.9355,0.00***,0.94
Concrete,2,0.8685,0.9355,0.00***,0.93
