Problem,Set,DAE-GP,Pre-Trained_DAE-GP,P_Value
airfoil_1hl,Train,33.54521600850468,35.111111514936844,0.017132**
,Test,34.027790256447716,35.80992970050751,0.140017
airfoil_2hl,Train,11.64424769607071,8.240510411099288,0.307308
,Test,11.340402500627578,8.063572620795089,0.570606
bostonHousing,Train,8.2533928622316,8.17606780633415,1.000000
,Test,8.037348723815132,7.921171025969851,0.688404
energyCooling,Train,4.480445098564427,4.652509121660903,0.064309*
,Test,4.612536048865454,4.857972950829616,0.537448
