Problem,Hidden_Layer,DAE-GP,Pre-Trained_DAE-GP,P_Value,Cliffs_Delta
Airfoil,1,0.834625806451613,0.9120548387096776,0.00***,0.95
Airfoil,1,0.8291903225806452,0.9146451612903226,0.00***,0.94
Boston_Housing,1,0.8537064516129034,0.9386516129032255,0.00***,0.94
Energy(Cooling),1,0.8498419354838709,0.9286693548387098,0.00***,0.94
Concrete,1,0.8414967741935483,0.9143612903225805,0.00***,0.95
