Problem,Hidden_Layer,DAE-GP,Pre-Trained_DAE-GP,P_Value,Cliffs_Delta
Airfoil,1,190.92580645161289,59.996774193548376,0.00***,-0.94
Airfoil,2,151.8709677419355,64.95161290322581,0.00***,-0.88
Boston_Housing,2,182.83870967741936,67.2709677419355,0.00***,-0.88
Energy_Cooling,2,169.39354838709676,69.87096774193549,0.00***,-0.90
concrete,2,171.6903225806452,64.90322580645162,0.00***,-0.92
