Problem,Hidden_Layer,DAE-GP,Pre-Trained_DAE-GP,P_Value,Cliffs_Delta
Airfoil,1,33.54521600850468,35.111111514936844,0.02**,0.64
Airfoil,2,11.64424769607071,8.240510411099288,0.31,-0.28
Boston_Housing,2,8.228673523629404,7.841008105367495,0.29,-0.29
Energy(Cooling),2,4.422698237625232,4.652509121660903,0.02**,0.63
Concrete,2,16.58329423338725,16.82919505120725,0.97,0.02
